class,id,name,presync,sync,postsync,init,heartbeat,precommit,commit,finalize
auction,0,Market_1,63000,0,25000,0,0,0,0,0
player,1,,32000,0,0,0,0,0,0,0
climate,2,weather,40000,0,0,87000,0,0,0,0
overhead_line_conductor,3,overhead_line_conductor_6010,0,0,0,0,0,0,0,0
overhead_line_conductor,4,overhead_line_conductor_6020,0,0,0,0,0,0,0,0
overhead_line_conductor,5,overhead_line_conductor_6030,0,0,0,0,0,0,0,0
underground_line_conductor,6,underground_line_conductor_6060,0,0,0,0,0,0,0,0
underground_line_conductor,7,underground_line_conductor_6070,0,0,0,0,0,0,0,0
line_spacing,8,line_spacing_500601,0,0,0,0,0,0,0,0
line_spacing,9,line_spacing_500602,0,0,0,0,0,0,0,0
line_spacing,10,line_spacing_505603,0,0,0,0,0,0,0,0
line_spacing,11,line_spacing_505604,0,0,0,0,0,0,0,0
line_spacing,12,line_spacing_510,0,0,0,0,0,0,0,0
line_configuration,13,line_configuration_601,0,0,0,0,0,0,0,0
line_configuration,14,line_configuration_602,0,0,0,0,0,0,0,0
line_configuration,15,line_configuration_603,0,0,0,0,0,0,0,0
line_configuration,16,line_configuration_604,0,0,0,0,0,0,0,0
line_configuration,17,line_configuration_605,0,0,0,0,0,0,0,0
line_spacing,18,line_spacing_515,0,0,0,0,0,0,0,0
line_spacing,19,line_spacing_520,0,0,0,0,0,0,0,0
line_configuration,20,line_configuration_606,0,0,0,0,0,0,0,0
line_configuration,21,line_configuration_607,0,0,0,0,0,0,0,0
transformer_configuration,22,transformer_configuration_400,0,0,0,0,0,0,0,0
regulator_configuration,23,regulator_configuration_6506321,0,0,0,0,0,0,0,0
transformer_configuration,24,trans_config_to_feeder,0,0,0,0,0,0,0,0
node,25,network_node,76000,24000,28000,0,0,0,0,0
transformer,26,substation_transformer,26000,33000,23000,0,0,0,0,0
recorder,27,,0,0,34000,0,0,0,0,0
overhead_line,28,632-645,20000,27000,22000,0,0,0,0,0
overhead_line,29,645-646,21000,28000,23000,0,0,0,0,0
overhead_line,30,630-632,19000,20000,35000,0,0,0,0,0
overhead_line,31,632-6321,28000,26000,26000,0,0,0,0,0
overhead_line,32,6321-671,25000,26000,15000,0,0,0,0,0
overhead_line,33,671-680,22000,28000,26000,0,0,0,0,0
overhead_line,34,671-684,32000,26000,24000,0,0,0,0,0
overhead_line,35,684-611,23000,15000,25000,0,0,0,0,0
underground_line,36,684-652,21000,21000,24000,0,0,0,0,0
underground_line,37,692-675,22000,35000,30000,0,0,0,0,0
overhead_line,38,632-633,20000,29000,27000,0,0,0,0,0
node,39,633,17000,26000,40000,0,0,0,1000,0
node,40,630,28000,24000,26000,0,0,0,0,0
node,41,632,31000,23000,21000,0,0,0,1000,0
node,42,650,23000,28000,22000,0,0,0,0,0
node,43,680,25000,39000,29000,0,0,0,0,0
node,44,684,17000,31000,28000,0,0,0,1000,0
node,45,634,31000,34000,25000,0,0,0,0,0
node,46,645,36000,25000,29000,0,0,0,0,0
node,47,646,26000,30000,31000,0,0,0,0,0
node,48,652,20000,25000,25000,0,0,0,0,0
node,49,671,31000,37000,31000,0,0,0,0,0
node,50,675,25000,24000,25000,0,0,0,0,0
node,51,692,23000,28000,23000,0,0,0,0,0
node,52,611,30000,33000,27000,0,0,0,0,0
node,53,6711,31000,27000,22000,0,0,0,0,0
